epoch,train_loss,val_oracle_f1,is_best,minutes
1,1.0335,0.9087,1,0.4
2,0.5217,0.9156,1,0.4
3,0.3615,0.9321,1,0.4
4,0.2978,0.9497,1,0.4
5,0.2190,0.9589,1,0.4
6,0.1937,0.9507,0,0.4
7,0.1681,0.9629,1,0.4
8,0.1475,0.9720,1,0.4
9,0.1600,0.9739,1,0.4
10,0.1229,0.9763,1,0.4
11,0.1077,0.9780,1,0.4
12,0.1100,0.9746,0,0.4
13,0.1243,0.9716,0,0.4
14,0.0968,0.9787,1,0.4
15,0.0817,0.9803,1,0.4
16,0.0834,0.9824,1,0.4
17,0.0782,0.9813,0,0.4
18,0.0777,0.9829,1,0.4
19,0.0759,0.9834,1,0.4
20,0.0768,0.9810,0,0.4
21,0.0750,0.9832,0,0.4
22,0.0707,0.9829,0,0.4
23,0.0654,0.9840,1,0.4
24,0.0651,0.9826,0,0.4
25,0.0734,0.9852,1,0.4
26,0.0620,0.9854,1,0.4
27,0.0699,0.9841,0,0.4
28,0.0598,0.9850,0,0.4
29,0.0565,0.9858,1,0.4
30,0.0592,0.9841,0,0.4
31,0.0571,0.9862,1,0.4
32,0.0556,0.9863,1,0.4
33,0.0526,0.9861,0,0.4
34,0.0514,0.9864,1,0.4
35,0.0516,0.9868,1,0.4
36,0.0514,0.9858,0,0.4
37,0.0513,0.9861,0,0.4
38,0.0467,0.9871,1,0.4
39,0.0484,0.9861,0,0.4
40,0.0478,0.9871,1,0.4
41,0.0441,0.9872,1,0.4
42,0.0483,0.9873,1,0.4
43,0.0462,0.9868,0,0.4
44,0.0491,0.9873,0,0.4
45,0.0460,0.9870,0,0.4
46,0.0432,0.9872,0,0.4
47,0.0421,0.9879,1,0.4
48,0.0430,0.9874,0,0.4
49,0.0422,0.9878,0,0.4
50,0.0403,0.9878,0,0.4
51,0.0403,0.9878,0,0.4
52,0.0415,0.9878,0,0.4
53,0.0399,0.9877,0,0.4
54,0.0396,0.9878,0,0.4
