epoch,train_loss,roc_auc,pr_auc,max_f1,best_threshold,is_best,secs
2,0.6741,0.9918,0.9593,0.9074,0.9460,1,3088.9
4,0.3124,0.9961,0.9873,0.9512,0.7946,1,3086.4
6,0.2041,0.9980,0.9913,0.9585,0.9181,1,3086.0
8,0.1622,0.9970,0.9834,0.9446,0.9654,0,3085.7
10,0.1329,0.9989,0.9954,0.9701,0.8264,1,3086.8
12,0.1178,0.9986,0.9950,0.9707,0.4806,1,3086.5
14,0.1033,0.9990,0.9961,0.9745,0.6902,1,3086.3
16,0.0868,0.9992,0.9969,0.9767,0.5380,1,3091.0
18,0.0814,0.9991,0.9964,0.9755,0.7542,0,3085.9
20,0.0767,0.9993,0.9972,0.9778,0.6762,1,3085.5
22,0.0699,0.9994,0.9977,0.9802,0.6113,1,3086.5
