epoch,train_loss,val_oracle_f1,is_best,minutes
1,1.0707,0.8610,1,1.3
2,0.5727,0.8982,1,0.7
3,0.4152,0.9381,1,0.7
4,0.3477,0.9230,0,0.9
5,0.2654,0.9547,1,0.8
6,0.2217,0.9549,1,0.8
7,0.1888,0.9631,1,0.9
8,0.1639,0.9622,0,0.8
9,0.1643,0.9650,1,1.9
10,0.1328,0.9640,0,1.7
11,0.1208,0.9577,0,1.7
12,0.1170,0.9735,1,1.7
13,0.1080,0.9644,0,1.8
14,0.0991,0.9731,0,1.7
15,0.0918,0.9759,1,1.7
16,0.0872,0.9747,0,1.7
17,0.0859,0.9761,1,1.7
18,0.0820,0.9757,0,1.7
19,0.0807,0.9755,0,1.7
20,0.0768,0.9763,1,1.7
21,0.0775,0.9766,1,1.7
22,0.0753,0.9765,0,1.7
