epoch,train_loss,val_oracle_f1,is_best,minutes
1,1.3089,0.6885,1,0.7
2,1.0697,0.8115,1,0.8
3,0.7760,0.8907,1,0.8
4,0.4731,0.9064,1,0.7
5,0.4111,0.9076,1,0.7
6,0.3657,0.9193,1,0.8
7,0.3622,0.9155,0,0.7
8,0.2842,0.9270,1,0.5
9,0.2774,0.9302,1,0.6
10,0.2648,0.9334,1,0.9
11,0.2402,0.9360,1,0.8
12,0.2255,0.9400,1,0.8
13,0.2078,0.9378,0,0.8
14,0.2167,0.9418,1,0.8
15,0.2065,0.9390,0,1.7
16,0.1929,0.9450,1,1.0
17,0.1767,0.9466,1,0.6
18,0.1755,0.9476,1,0.6
19,0.1698,0.9478,1,0.6
20,0.1780,0.9480,1,0.6
21,0.1750,0.9483,1,0.6
22,0.1703,0.9484,1,0.7
