epoch,roc_auc,pr_auc,max_f1,is_best,chunk_time_sec
5,0.5353,0.3340,0.3947,1,231.3
10,0.8977,0.8706,0.8138,1,202.2
15,0.8600,0.8535,0.7772,0,200.8
20,0.5393,0.3693,0.5366,0,198.9
25,0.6984,0.2822,0.3255,0,199.5
30,0.6041,0.4024,0.4053,0,192.2
35,0.6265,0.4507,0.4416,0,196.3
40,0.6224,0.3163,0.3439,0,196.2
45,0.4310,0.2100,0.3833,0,680.4
50,0.7312,0.4518,0.5908,0,113.0
55,0.5133,0.6072,0.3530,0,126.5
60,0.4712,0.2134,0.3131,0,124.1
65,0.4696,0.1430,0.1647,0,122.7
70,0.5139,0.3376,0.3566,0,123.3
75,0.4744,0.2804,0.2508,0,122.1
80,0.6910,0.6154,0.5448,0,122.4
85,0.7502,0.8004,0.6630,0,123.1
90,0.8611,0.8565,0.7776,0,122.7
95,0.5072,0.4343,0.6237,0,123.9
100,0.5766,0.2835,0.2586,0,123.3
